name;federalState;border
Konstanz;BadenWuertemberg;Schweiz
Stuttgart;BadenWuertemberg;
Mannheim ;BadenWuertemberg;
Freiburg ;BadenWuertemberg;Frankreich
Karlsruhe;BadenWuertemberg;
Hof;Bayern;Tschechien
Muenchen;Bayern;
Passau;Bayern;Oesterreich
Garmisch-Partenkirchen;Bayern;Oesterreich
Nuernberg;Bayern;
Augsburg;Bayern;
Berlin;Berlin;
Potsdam;Brandenburg;
Brandenburg an der Havel;Brandenburg;
Cottbus;Brandenburg;
Frankfurt (Oder);Brandenburg;Polen
Bremen;Bremen;
Bremerhaven;Bremen;
Hamburg;Hamburg;
Wiesbaden;Hessen;
Frankfurt am Main;Hessen;
Kassel;Hessen;
Schwerin;MecklenburgVorpommern;
Rostock;MecklenburgVorpommern;
Neubrandenburg;MecklenburgVorpommern;
Hannover;Niedersachsen;
Braunschweig;Niedersachsen;
Oldenburg;Niedersachsen;
Nordhorn;Niedersachsen;Niederlande
Essen;NordrheinWestphalen;
Duisburg;NordrheinWestphalen;
Bochum;NordrheinWestphalen;
Wuppertal;NordrheinWestphalen;
Bielefeld;NordrheinWestphalen;
Bonn;NordrheinWestphalen;
Muenster;NordrheinWestphalen;
Moenchengladbach;NordrheinWestphalen;
Gelsenkirchen;NordrheinWestphalen;
Krefeld;NordrheinWestphalen;
Dortmund;NordrheinWestphalen;
Aachen;NordrheinWestphalen;Belgien/Niederlande
Koeln;NordrheinWestphalen;
Duesseldorf;NordrheinWestphalen;
Rheda-Wiedenbrueck;NordrheinWestphalen;
Heinsberg;NordrheinWestphalen;
Magdeburg;SachsenAnhalt;
Halle;SachsenAnhalt;
Dessau;SachsenAnhalt;
Kiel;SchleswigHolstein;
Luebeck;SchleswigHolstein;
Flensburg;SchleswigHolstein;Daenemark
Erfurt;Thueringen;
Jena;Thueringen;
Gera;Thueringen;
Saarbruecken;Saarland;Frankreich
Leipzig;Sachsen;
Goerlitz;Sachsen;Polen
Dresden;Sachsen;
Chemnitz;Sachsen;
Mainz;RheinlandPfalz;
Ludwigshafen am Rhein;RheinlandPfalz;
Koblenz;RheinlandPfalz;
Trier;RheinlandPfalz;Luxemburg
